ContractingOfficeCode	fiscal_year	obligatedamount_1year	numberofactions_1year	NumberOfTransactions_1year	NumberOfContracts_1year	numberofactions_7year	obligatedamount_7year	PBSCobligated_7year
1AJ02 	1990	26000.0000	NULL	1	1	NULL	NULL	NULL
000PA	2009	487345177.4524	1564	1785	1159	NULL	NULL	NULL
36C249	2018	176010408.2434	4807	226	202	NULL	NULL	NULL
FA8240	2017	88260637.0350	27	31	13	NULL	NULL	NULL
ARFA9	2009	0.0000	0	4	3	NULL	NULL	NULL
PCARD	2014	10023778.5298	1716	1716	1716	NULL	NULL	NULL
SP4704	2012	2965477.9802	78	78	53	NULL	NULL	NULL
1CA89 	1993	578428.0000	NULL	12	11	NULL	NULL	NULL
3JA06 	1991	22334000.0000	NULL	114	53	NULL	NULL	NULL
10407	2001	8375000.0000	37	37	26	NULL	NULL	NULL
19C020	2018	6138752.9985	761	836	670	NULL	NULL	NULL
S2401A	2008	6006851.0000	68	68	66	NULL	NULL	NULL
3K15	2003	7472727.3984	12	13	10	NULL	NULL	NULL
124329	2018	637503.4770	56	56	42	NULL	NULL	NULL
2BH003	1990	15105000.0000	NULL	8	6	NULL	NULL	NULL
4550	2013	4608223.0312	335	366	245	NULL	NULL	NULL
DAAB15	2003	0.0000	1	1	1	NULL	NULL	NULL
CH500	2004	3420399.0000	52	62	52	NULL	NULL	NULL
910099	2017	360873151.7418	618	649	533	NULL	NULL	NULL
PX000	2006	2999241.1054	35	39	28	NULL	NULL	NULL
OIGNO	2015	4662898.6604	170	179	119	NULL	NULL	NULL
DEANK	2007	973480.0193	566	642	332	NULL	NULL	NULL
36P552	2017	43883.1299	6	6	5	NULL	NULL	NULL
OR110	2012	2290221.2487	230	230	178	NULL	NULL	NULL
F0681	1999	14521678.0000	97	97	50	NULL	NULL	NULL
51603	2007	4918748.5378	349	344	294	NULL	NULL	NULL
BY005	2004	53679.0000	4	4	4	NULL	NULL	NULL
19GE60	2017	1236763.5765	95	97	80	NULL	NULL	NULL
00011	2008	90643368.2152	981	1038	738	NULL	NULL	NULL
0006C	2010	112716.5993	28	28	27	NULL	NULL	NULL
7D74	2015	212054.6400	24	24	22	NULL	NULL	NULL
W911S1	2014	29171088.4861	609	625	448	NULL	NULL	NULL
S3315A	2007	507591.0000	1	1	1	NULL	NULL	NULL
SPM7A6	2008	27208601.0000	1783	1718	1718	NULL	NULL	NULL
1204T0	2018	9673955.9572	282	317	229	NULL	NULL	NULL
DW36 	1999	48281395.0000	281	281	142	NULL	NULL	NULL
W9124B	2017	157924771.0629	358	365	227	NULL	NULL	NULL
2RA900	1993	26124573.0000	NULL	369	5	NULL	NULL	NULL
00020	2011	297163102.6276	1640	1728	1385	NULL	NULL	NULL
CX000	2010	1174298.4597	230	232	185	NULL	NULL	NULL
36C263	2017	359299.7223	28	29	28	NULL	NULL	NULL
GV47 	1998	949614068.0000	140	140	14	NULL	NULL	NULL
19T040	2018	1229082.6994	163	197	145	NULL	NULL	NULL
47PC06	2018	18758033.1906	150	165	112	NULL	NULL	NULL
MS087	2015	50747.5700	13	13	11	NULL	NULL	NULL
00502S	2007	9512051.1343	3439	3439	3439	NULL	NULL	NULL
8499	2008	1295497.2004	167	168	149	NULL	NULL	NULL
70Z084	2017	61114925.9945	1789	2010	1433	NULL	NULL	NULL
BH200	2004	1219484.0000	10	15	12	NULL	NULL	NULL
W917PM	2005	129114343.0000	62	68	48	NULL	NULL	NULL
56A1	2005	7340240.4367	260	265	248	NULL	NULL	NULL
ARFA0	2009	3325970.8070	174	174	114	NULL	NULL	NULL
36P256	2017	50874880.5461	3345	3369	3254	NULL	NULL	NULL
00521	2003	119000.0000	3	3	3	NULL	NULL	NULL
7245	2010	10419401.1772	399	417	338	NULL	NULL	NULL
HA12 	1999	2822093.0000	44	44	33	NULL	NULL	NULL
PR780	1996	5773258.0000	108	108	12	NULL	NULL	NULL
03R6	2016	16071251.2307	933	1048	776	NULL	NULL	NULL
FA9100	2008	274862978.5127	30	30	2	NULL	NULL	NULL
F0263	1999	4473706.0000	60	60	30	NULL	NULL	NULL
SPM5M5	2010	5089513.0000	364	399	399	NULL	NULL	NULL
FA8533	2008	195465875.2127	157	177	142	NULL	NULL	NULL
BR810	2006	294236.0000	81	9	9	NULL	NULL	NULL
HA11 	1996	1614451.0000	27	27	25	NULL	NULL	NULL
000G3	2008	2032562.8538	60	60	50	NULL	NULL	NULL
N40083	2011	205087485.4324	1609	1753	1135	NULL	NULL	NULL
M00681	2012	172343361.3966	2141	2209	1442	NULL	NULL	NULL
SPM5L2	2010	61001798.4001	1812	1813	1813	NULL	NULL	NULL
JA102	1997	302716742.0000	868	868	357	NULL	NULL	NULL
8371	2011	27406036.3449	760	942	673	NULL	NULL	NULL
95V009	2018	11932.6600	2	2	2	NULL	NULL	NULL
MR000	2011	21935812.2312	280	289	246	NULL	NULL	NULL
N00232	2009	7987436.5226	898	898	600	NULL	NULL	NULL
N44280	2012	31171.0203	6	7	7	NULL	NULL	NULL
00529	2015	17831799.6337	406	428	292	NULL	NULL	NULL
140P42	2018	20426297.3153	523	530	444	NULL	NULL	NULL
CW67	2002	56558873.0000	466	471	314	NULL	NULL	NULL
125680	2018	3886224.6506	375	259	198	NULL	NULL	NULL
CW25 	1995	72882755.0000	292	292	182	NULL	NULL	NULL
00001	2005	123855011.9955	4636	4936	3562	NULL	NULL	NULL
00007	2010	1772331252.5731	263	275	152	NULL	NULL	NULL
000DG	2003	824000.0000	11	14	12	NULL	NULL	NULL
OC662	2013	68865549.3863	989	1084	656	NULL	NULL	NULL
7245	2002	63266.0000	8	8	7	NULL	NULL	NULL
N63394	2017	265982045.3434	1145	1219	584	NULL	NULL	NULL
BN208	1997	293522.0000	5	5	2	NULL	NULL	NULL
00358S	2011	369727.0019	51	51	51	NULL	NULL	NULL
AM100	2004	370016.0000	10	10	10	NULL	NULL	NULL
MS011	2010	49886.8984	1	1	1	NULL	NULL	NULL
00249	2012	128165736.1916	10578	1501	1443	NULL	NULL	NULL
15M011	2018	519314.2307	229	229	176	NULL	NULL	NULL
00672S	2009	24256011.0545	9019	9019	9019	NULL	NULL	NULL
15USAF	2017	1997766.5335	65	45	45	NULL	NULL	NULL
	2004	12000.0000	1	1	1	NULL	NULL	NULL
SA700	2003	119810.0000	4	8	8	NULL	NULL	NULL
POLLA	2013	3296966.6391	191	188	188	NULL	NULL	NULL
00761S	2011	2549261.9290	212	212	212	NULL	NULL	NULL
0010D	2008	46464612.3146	245	255	168	NULL	NULL	NULL
GV02	2001	66309507.0000	248	258	220	NULL	NULL	NULL
NV050	2015	203102.6698	20	20	15	NULL	NULL	NULL
W912D2	2005	162753134.0000	277	304	253	NULL	NULL	NULL
CA25	2001	8383396.0000	38	39	32	NULL	NULL	NULL
KF23	2000	55375627.0000	402	402	194	NULL	NULL	NULL
005G2	2005	99225.2598	8	8	6	NULL	NULL	NULL
203412	2018	44388020.6738	212	246	189	NULL	NULL	NULL
SP3100	2002	145061.0625	2	5	5	NULL	NULL	NULL
41804	2013	19969170.7381	834	868	736	NULL	NULL	NULL
XF000	2004	6735354.7251	260	273	168	NULL	NULL	NULL
2AN301	1990	19667000.0000	NULL	13	12	NULL	NULL	NULL
RA13B	2000	9891398.0000	162	162	101	NULL	NULL	NULL
0010F	2002	33619000.0000	16	23	23	NULL	NULL	NULL
1DA13 	1992	14256000.0000	NULL	97	75	NULL	NULL	NULL
NSSC0	2009	137757289.6518	1163	1185	644	NULL	NULL	NULL
BENSC	2008	40690.9801	10	11	11	NULL	NULL	NULL
W912QM	2007	4302533.0000	645	650	513	NULL	NULL	NULL
KU000	2009	454601603.8335	11901	12241	12018	NULL	NULL	NULL
DEANK	2008	879189.5607	637	638	347	NULL	NULL	NULL
15B518	2017	6554660.5557	322	320	251	NULL	NULL	NULL
W912JY	2014	0.0000	1	3	2	NULL	NULL	NULL
N00070	2012	7815.0000	1	2	2	NULL	NULL	NULL
SI600	2003	90000.0000	1	1	1	NULL	NULL	NULL
W912LR	2018	11547107.9518	366	367	303	NULL	NULL	NULL
15JA90	2018	109775.7500	18	21	16	NULL	NULL	NULL
70Z089	2018	19592.1201	3	3	3	NULL	NULL	NULL
00249	2002	22373753.0000	412	426	423	NULL	NULL	NULL
2RF11C	1992	43000.0000	NULL	1	1	NULL	NULL	NULL
FC000	2012	104608279.3759	844	911	492	NULL	NULL	NULL
04R4	2011	4937819.6615	470	520	433	NULL	NULL	NULL
UT040	2011	1037423.8260	111	111	100	NULL	NULL	NULL
47PG05	2018	1105018.6390	88	89	63	NULL	NULL	NULL
30401	2003	352000.0000	21	21	14	NULL	NULL	NULL
91V9	2009	331455.4099	46	88	71	NULL	NULL	NULL
UW000	2003	572000.0000	48	48	30	NULL	NULL	NULL
2RC503	1993	1699818.0000	NULL	29	8	NULL	NULL	NULL
1JA06 	1991	203000.0000	NULL	3	2	NULL	NULL	NULL
MT070	2001	149000.0000	10	11	10	NULL	NULL	NULL
CW72	2001	35217045.0000	200	205	187	NULL	NULL	NULL
NH	2008	-1057.4000	4	4	4	NULL	NULL	NULL
TA000	2002	120000.0000	3	3	3	NULL	NULL	NULL
61203	2004	3333002.9981	45	50	39	NULL	NULL	NULL
PDS01	2004	468561283.9500	1665	1755	1635	NULL	NULL	NULL
MS091	2016	82224.2600	34	34	21	NULL	NULL	NULL
0400 	1996	412332933.0000	3773	3773	2666	NULL	NULL	NULL
0006H	2016	24488.4200	10	10	6	NULL	NULL	NULL
SPM7L2	2014	176313809.9834	7082	7085	6661	NULL	NULL	NULL
3148	2006	1457068.0449	8	8	8	NULL	NULL	NULL
S0305A	2016	1720650.5350	132	133	97	NULL	NULL	NULL
7D89	2015	7425.0000	15	15	15	NULL	NULL	NULL
W912L8	2017	26811031.2754	593	615	482	NULL	NULL	NULL
0010H	2012	1933627.1609	124	124	67	NULL	NULL	NULL
FA8529	2007	165241450.0000	95	95	46	NULL	NULL	NULL
TUCAZ	2004	811000.0000	50	56	56	NULL	NULL	NULL
1330	2006	284744.8984	4	4	4	NULL	NULL	NULL
082FT	2003	6283250.0000	303	306	246	NULL	NULL	NULL
3SB03 	1991	7538000.0000	NULL	52	33	NULL	NULL	NULL
5CW66 	1992	66948000.0000	NULL	217	135	NULL	NULL	NULL
1604DC	2018	10183787.9217	296	301	246	NULL	NULL	NULL
00010	2004	49001140.1564	525	538	320	NULL	NULL	NULL
UN500	1999	569305.0000	12	12	10	NULL	NULL	NULL
00130	2006	5558021.4485	276	280	207	NULL	NULL	NULL
N68936	2015	841103547.6016	4105	4280	2608	NULL	NULL	NULL
N00604	2008	169062888.1992	2990	3057	2305	NULL	NULL	NULL
00637S	2008	13365207.7726	10580	10580	10580	NULL	NULL	NULL
W91QF2	2007	7736990.0000	121	136	51	NULL	NULL	NULL
USA75	2014	193040.0000	2	2	2	NULL	NULL	NULL
HQC007	2017	14834761.7279	133	139	97	NULL	NULL	NULL
FA8504	2009	607961008.5982	404	423	180	NULL	NULL	NULL
C4255	1994	2936936.0000	24	24	16	NULL	NULL	NULL
SSC00	2010	476732.2971	58	58	56	NULL	NULL	NULL
41702	2002	566000.0000	25	26	16	NULL	NULL	NULL
00631	2015	514024.1069	22	23	21	NULL	NULL	NULL
N63220	2018	3891507.6759	8	8	5	NULL	NULL	NULL
00081	2003	19458944.0194	178	181	116	NULL	NULL	NULL
00015	2002	1390000.0000	27	27	26	NULL	NULL	NULL
SPM5AA	2008	5491999.0000	583	582	582	NULL	NULL	NULL
2TK695	1991	779000.0000	NULL	16	11	NULL	NULL	NULL
PK000	2015	3015162.2339	214	218	182	NULL	NULL	NULL
3GJ40 	1993	179702632.0000	NULL	229	140	NULL	NULL	NULL
N68330	2015	0.0000	0	18	17	NULL	NULL	NULL
NMNH	2008	3376207.8921	215	215	213	NULL	NULL	NULL
FA8538	2014	54424673.8900	240	353	284	NULL	NULL	NULL
00107	2006	65788.5403	12	12	12	NULL	NULL	NULL
FA6800	2017	44725280.9494	58	58	35	NULL	NULL	NULL
333143	2017	390883.2071	22	22	21	NULL	NULL	NULL
HA47	2001	15394584.0000	84	88	80	NULL	NULL	NULL
SP0470	2005	0.0000	0	2	2	NULL	NULL	NULL
S3110A	2015	-9501324.4300	16	16	14	NULL	NULL	NULL
91U2	2012	28588.2600	1	10	10	NULL	NULL	NULL
50020	2005	50332.9893	3	5	4	NULL	NULL	NULL
5CW37 	1993	45445016.0000	NULL	121	62	NULL	NULL	NULL
PMS01	2014	23911312.7039	377	386	236	NULL	NULL	NULL
S0605A	2010	-2587638.4859	22	23	16	NULL	NULL	NULL
2E612B	1993	58243987.0000	NULL	222	153	NULL	NULL	NULL
00258	2015	331552429.5324	12718	5246	4283	NULL	NULL	NULL
1ZD50 	1991	158479000.0000	NULL	567	216	NULL	NULL	NULL
33A7	2014	561625.6799	67	73	67	NULL	NULL	NULL
W81K04	2008	229756014.7220	1020	1275	687	NULL	NULL	NULL
75S202	2018	21129569.9902	15	16	8	NULL	NULL	NULL
W911KF	2017	32970222.9116	1026	993	740	NULL	NULL	NULL
MA28	2001	5035846.0000	55	55	33	NULL	NULL	NULL
CA450	2001	0.0000	0	1	1	NULL	NULL	NULL
0300 	1997	2180711.0000	5	5	4	NULL	NULL	NULL
FA8532	2003	0.0000	0	2	2	NULL	NULL	NULL
WD530	1996	32194.0000	1	1	1	NULL	NULL	NULL
2RQ501	1993	37498582.0000	NULL	190	17	NULL	NULL	NULL
FA8112	2017	5245101.6543	614	614	589	NULL	NULL	NULL
SZ350	2011	3071557.5603	891	169	169	NULL	NULL	NULL
AF100	2015	1608043.9900	36	36	26	NULL	NULL	NULL
FA2521	2010	458877290.7183	1842	1766	1010	NULL	NULL	NULL
N61866	2017	83625.9002	20	20	20	NULL	NULL	NULL
00034	2004	2130998.0000	48	51	39	NULL	NULL	NULL
62KZ	2011	169314.5500	245	273	258	NULL	NULL	NULL
H92254	2016	689998692.8600	1353	1367	483	NULL	NULL	NULL
W912KZ	2006	30496568.0000	626	525	438	NULL	NULL	NULL
00083	2009	47423520.5878	598	618	430	NULL	NULL	NULL
1EA08 	1993	166670190.0000	NULL	1242	225	NULL	NULL	NULL
SPM2DV	2017	4222684.8692	60	60	43	NULL	NULL	NULL
W91QF0	2014	19718934.0134	384	405	272	NULL	NULL	NULL
3AC31 	1993	3477985.0000	NULL	14	13	NULL	NULL	NULL
TEOAF	2012	24329459.1152	45	48	19	NULL	NULL	NULL
SPM2D0	2010	15190794.0000	168	178	177	NULL	NULL	NULL
WD10H	1994	37939.0000	2	2	2	NULL	NULL	NULL
00614	2014	55857659.4412	7842	1053	801	NULL	NULL	NULL
SP4701	2016	700595144.8404	17186	17264	16887	NULL	NULL	NULL
645S	2011	8465323.8059	190	205	179	NULL	NULL	NULL
BW000	2016	54025606.0730	831	1112	638	NULL	NULL	NULL
N68306	2016	40365.0000	7	100	100	NULL	NULL	NULL
SPM5A7	2016	0.0000	0	8	3	NULL	NULL	NULL
FA8773	2006	215829732.0000	1273	867	540	NULL	NULL	NULL
00105	2005	147709.0000	2	2	2	NULL	NULL	NULL
IN300	2010	1366360.8784	431	94	90	NULL	NULL	NULL
AT716	2000	79557405.0000	7	7	3	NULL	NULL	NULL
00138	2015	467905.8500	78	78	55	NULL	NULL	NULL
SPM3SE	2014	11008285.6300	648	660	549	NULL	NULL	NULL
0261	2001	165579.0000	17	17	6	NULL	NULL	NULL
00595	2007	16437897.9629	217	220	208	NULL	NULL	NULL
W5K9ZM	2011	104595429.5409	136	139	107	NULL	NULL	NULL
HQ007	2006	839888.3219	17	17	16	NULL	NULL	NULL
JA20 	1997	78840368.0000	314	314	129	NULL	NULL	NULL
N61331	2013	326598494.3236	1646	1705	946	NULL	NULL	NULL
7512	2014	1540212.5002	59	72	59	NULL	NULL	NULL
WQ000	2001	308000.0000	8	8	7	NULL	NULL	NULL
ASHKY	2001	1283000.0000	72	74	73	NULL	NULL	NULL
N68734	2008	100397.2109	5	3	3	NULL	NULL	NULL
JA16	2001	44349533.0000	393	412	384	NULL	NULL	NULL
SP100	2013	122790.5208	20	27	25	NULL	NULL	NULL
046W	2016	6215091.9373	497	524	362	NULL	NULL	NULL
FA3300	2009	181502038.2844	2250	1676	1389	NULL	NULL	NULL
19SP50	2017	4960025.9669	492	524	338	NULL	NULL	NULL
SPM760	2001	88889.0000	1	2	2	NULL	NULL	NULL
S0305A	2015	-9556599.3300	126	130	93	NULL	NULL	NULL
FA4661	2008	42592626.1355	1229	753	472	NULL	NULL	NULL
GP20	2003	3913554.0000	14	14	14	NULL	NULL	NULL
FA5215	2012	143652389.6196	763	814	566	NULL	NULL	NULL
IS400	2007	4940947.9966	1467	173	154	NULL	NULL	NULL
8191	2007	210110.3917	18	18	18	NULL	NULL	NULL
N63110	2013	171245.4115	14	14	14	NULL	NULL	NULL
N57070	2008	550133.6617	29	29	29	NULL	NULL	NULL
36C636	2018	28749438.1466	329	331	193	NULL	NULL	NULL
2BS794	1993	14527673.0000	NULL	99	13	NULL	NULL	NULL
CA81 	1995	56086757.0000	176	176	80	NULL	NULL	NULL
00255P	2007	12122241.0681	24903	20966	20966	NULL	NULL	NULL
1484	2015	788295.5600	74	75	57	NULL	NULL	NULL
PDS02	2015	40732332.0204	5971	5254	4415	NULL	NULL	NULL
191D80	2017	256534.4378	34	34	30	NULL	NULL	NULL
15B204	2018	3943504.6477	542	549	356	NULL	NULL	NULL
N61944	2018	69739.0000	12	12	12	NULL	NULL	NULL
N66098	2015	429249.2218	18	18	16	NULL	NULL	NULL
00062	2010	5324614.7702	172	173	123	NULL	NULL	NULL
40000	2010	2453269.0045	83	83	50	NULL	NULL	NULL
N40442	2011	298848629.6773	3911	3967	2722	NULL	NULL	NULL
3DA20 	1993	4028233.0000	NULL	31	22	NULL	NULL	NULL
8167	2008	310401.6012	47	47	43	NULL	NULL	NULL
N68093	2018	4294537.9237	399	399	351	NULL	NULL	NULL
140P82	2017	11309299.6597	194	197	172	NULL	NULL	NULL
MT004	2011	832330.5020	4	4	4	NULL	NULL	NULL
DEAST	2011	1836473.3568	79	80	55	NULL	NULL	NULL
N69272	2008	57963640.0000	142	146	97	NULL	NULL	NULL
W91SMC	2017	20607307.7557	684	712	622	NULL	NULL	NULL
N30929	2015	127504.2600	10	10	10	NULL	NULL	NULL
N3761A	2015	1737671.6597	34	34	33	NULL	NULL	NULL
GV52 	1995	22833113.0000	13	13	5	NULL	NULL	NULL
ORDCO0	2014	2192027.7993	422	424	353	NULL	NULL	NULL
W90VN9	2018	30500483.8272	1488	923	722	NULL	NULL	NULL
AMOO	2010	12195581.1748	137	140	134	NULL	NULL	NULL
61100	2005	-934.1001	3	3	3	NULL	NULL	NULL
SPM8E9	2008	16352262.0000	1243	1234	1234	NULL	NULL	NULL
FTDNJ	2010	3273250.1493	39	39	39	NULL	NULL	NULL
RC000	2002	844000.0000	126	128	102	NULL	NULL	NULL
00022	2012	141107613.8184	715	884	651	NULL	NULL	NULL
FA4419	2018	27832268.3292	572	552	450	NULL	NULL	NULL
15F058	2017	29837404.2732	154	156	126	NULL	NULL	NULL
0276	2012	322102.1482	72	90	70	NULL	NULL	NULL
00764	2003	144674047.0000	4	5	5	NULL	NULL	NULL
8501	2008	15087.0000	2	2	2	NULL	NULL	NULL
RJ000	2005	-19697.4805	1	1	1	NULL	NULL	NULL
00241	2010	49734718.8514	452	569	462	NULL	NULL	NULL
N62473	2016	1635891957.1738	5907	6521	4367	NULL	NULL	NULL
CW83	2002	2981149.0000	20	20	18	NULL	NULL	NULL
KZ000	2009	10691844.5499	124	124	74	NULL	NULL	NULL
MO550	2003	674311.9500	14	14	9	NULL	NULL	NULL
1AC71 	1991	11356000.0000	NULL	132	84	NULL	NULL	NULL
W9124C	2013	118285390.2071	708	767	461	NULL	NULL	NULL
SC01 	1998	76416631.0000	282	282	108	NULL	NULL	NULL
33000	2014	7067456.1700	383	389	264	NULL	NULL	NULL
BS	2012	44721790.3089	176	177	162	NULL	NULL	NULL
40004 	1992	4539000.0000	NULL	52	40	NULL	NULL	NULL
JA89	2003	121720675.3398	457	483	361	NULL	NULL	NULL
00002	2016	463246750.3597	1886	1932	1541	NULL	NULL	NULL
IZ110	2014	1261148.1200	84	104	88	NULL	NULL	NULL
000CM	2014	1928132.3300	18	20	20	NULL	NULL	NULL
40804	2002	783000.0000	10	10	8	NULL	NULL	NULL
HC1028	2009	1843772197.5810	6942	7183	3482	NULL	NULL	NULL
3FJ02 	1991	103380000.0000	NULL	529	348	NULL	NULL	NULL
SPM303	2016	267851.3224	184	188	186	NULL	NULL	NULL
21203	2006	4270844.3390	287	285	265	NULL	NULL	NULL
SG200	2015	6238262.5600	610	762	542	NULL	NULL	NULL
63VY	2016	124686.8601	52	52	51	NULL	NULL	NULL
N68171	2004	183417.3125	2	5	5	NULL	NULL	NULL
W91249	2011	175509961.0894	1498	1537	1136	NULL	NULL	NULL
C0025	1995	611805.0000	5	5	2	NULL	NULL	NULL
W912PL	2016	357919288.1911	1053	1102	598	NULL	NULL	NULL
QK601	2004	754854.0000	9	9	9	NULL	NULL	NULL
DS000	2002	190543952.5683	768	778	540	NULL	NULL	NULL
00666P	2007	700946.9647	3397	957	957	NULL	NULL	NULL
00463	2006	3839616.0000	22	27	27	NULL	NULL	NULL
00267	2006	-23718.0000	3	3	2	NULL	NULL	NULL
00161	2016	21860174.0565	216	281	156	NULL	NULL	NULL
00619	2001	18226000.0000	207	227	227	NULL	NULL	NULL
2RA11J	1990	67000.0000	NULL	1	1	NULL	NULL	NULL
15JCE0	2018	373399.7433	26	26	24	NULL	NULL	NULL
00071	2006	28334302.2869	603	603	451	NULL	NULL	NULL
UP300	2005	1654837.2294	28	28	20	NULL	NULL	NULL
W912P8	2017	417549232.4128	1620	1701	1132	NULL	NULL	NULL
N40080	2010	1394488124.0589	4792	5138	3275	NULL	NULL	NULL
00005	2009	489661.2234	70	70	68	NULL	NULL	NULL
SP0103	2007	459668898.0000	726	674	308	NULL	NULL	NULL
00041	2013	4302932.3525	335	340	243	NULL	NULL	NULL
BW17A	1999	233601741.0000	860	860	436	NULL	NULL	NULL
00283	2001	55943000.0000	19	20	12	NULL	NULL	NULL
JC004	2009	155942329.0000	116	116	29	NULL	NULL	NULL
JU000	2012	65366270.4628	937	1015	684	NULL	NULL	NULL
AA4X0	1995	-424191.0000	5	5	5	NULL	NULL	NULL
W912LP	2014	13699850.4851	531	540	437	NULL	NULL	NULL
CW17 	1998	76259076.0000	352	352	142	NULL	NULL	NULL
N62604	2004	12207.0000	1	2	2	NULL	NULL	NULL
AQMSP	2010	15751300.0207	1689	1691	1585	NULL	NULL	NULL
3SD02 	1991	15027000.0000	NULL	94	77	NULL	NULL	NULL
2JA115	1992	86321565.0000	NULL	292	17	NULL	NULL	NULL
ATLGA	2013	581964.5190	54	54	53	NULL	NULL	NULL
00671	2006	92083694.1180	726	756	695	NULL	NULL	NULL
333213	2018	82502.5102	6	6	6	NULL	NULL	NULL
30703	2002	3375000.0000	48	53	44	NULL	NULL	NULL
3QA13 	1993	18705140.0000	NULL	152	58	NULL	NULL	NULL
BS795	1999	78357364.0000	269	269	21	NULL	NULL	NULL
FPICO	2016	3420322.6600	45	45	43	NULL	NULL	NULL
47PD10	2018	7041708.5987	263	263	192	NULL	NULL	NULL
N49400	2006	88835527.7374	2340	2339	1410	NULL	NULL	NULL
FA8210	2018	97233492.5000	15	15	6	NULL	NULL	NULL
19SA40	2018	1427709.8331	153	167	141	NULL	NULL	NULL
00730	2010	46433694.8430	98	96	88	NULL	NULL	NULL
000G3	2001	14453000.0000	64	67	59	NULL	NULL	NULL
19BN15	2017	1514639.3332	180	131	114	NULL	NULL	NULL
ST000	2010	284431.7083	30	31	21	NULL	NULL	NULL
00509P	2006	5568839.4963	57408	208	208	NULL	NULL	NULL
3SB06 	1992	16306000.0000	NULL	109	56	NULL	NULL	NULL
00056	2004	-333216.0000	2	2	1	NULL	NULL	NULL
W911NF	2016	435732089.4645	1790	1862	1021	NULL	NULL	NULL
RS901	2014	30412743.7765	2061	2083	1219	NULL	NULL	NULL
SPE4AN	2014	1278391.4200	64	64	53	NULL	NULL	NULL
GX000	2008	90865687.6219	506	627	401	NULL	NULL	NULL
AJ200	2009	2107538.8985	686	175	166	NULL	NULL	NULL
MA40K	2004	9616483.0000	178	178	172	NULL	NULL	NULL
N61935	2013	0.0000	0	4	4	NULL	NULL	NULL
GW03 	1995	142291052.0000	462	462	142	NULL	NULL	NULL
00311	2015	6773107.4879	743	743	627	NULL	NULL	NULL
RM280	2012	113842.4488	6	6	6	NULL	NULL	NULL
D910D	2001	4821697.0000	36	36	20	NULL	NULL	NULL
TE201	1999	14644436.0000	161	161	137	NULL	NULL	NULL
SPM740	2004	0.0000	0	14	14	NULL	NULL	NULL
00049	2003	0.0000	0	1	1	NULL	NULL	NULL
D0211	2000	11161032.0000	50	50	11	NULL	NULL	NULL
2BN317	1992	5266991.0000	NULL	12	7	NULL	NULL	NULL
3434	2006	705491.4304	40	40	36	NULL	NULL	NULL
USA98	2016	487342.7490	95	95	64	NULL	NULL	NULL
00040	2010	42602888.6713	470	487	347	NULL	NULL	NULL
A8304	2002	219090496.0000	401	405	213	NULL	NULL	NULL
MS003	2014	42265.4100	16	17	7	NULL	NULL	NULL
33A4	2006	4094.8899	1	1	1	NULL	NULL	NULL
15UM1L	2018	6838270.4459	356	257	256	NULL	NULL	NULL
MAR00	2006	199819.0991	10	10	10	NULL	NULL	NULL
WY951	2012	3056620.9885	195	196	141	NULL	NULL	NULL
N68221	2015	79731.9200	9	9	5	NULL	NULL	NULL
AZ000	2009	26950301.1861	376	411	209	NULL	NULL	NULL
00050	2006	100000.0000	2	2	2	NULL	NULL	NULL
LERC0	2004	292126339.6504	1523	1535	826	NULL	NULL	NULL
EC300	2015	1135473.8700	118	157	126	NULL	NULL	NULL
00016	2008	66895.5393	7	7	7	NULL	NULL	NULL
S4001A	2016	-6681414.0100	58	63	50	NULL	NULL	NULL
20020	2015	506545.5400	63	63	50	NULL	NULL	NULL
UT000	2009	11742416.8791	501	512	336	NULL	NULL	NULL
00776	2003	154624000.0000	319	333	259	NULL	NULL	NULL
A8106	1998	52359959.0000	225	225	66	NULL	NULL	NULL
WA60P	1999	33650.0000	1	1	1	NULL	NULL	NULL
N68948	2015	5768.4300	1	1	1	NULL	NULL	NULL
SCO00	2009	1959948.4998	29	29	17	NULL	NULL	NULL
V09303	2014	35874.0300	6	6	6	NULL	NULL	NULL
RA005	2016	2411084.1189	341	341	232	NULL	NULL	NULL
H94003	2013	822511458.8783	631	633	380	NULL	NULL	NULL
BUTNC	2011	2836624.1495	81	81	81	NULL	NULL	NULL
N68306	2011	175016.0802	24	17	17	NULL	NULL	NULL
5C16	2008	3233859.1302	30	31	28	NULL	NULL	NULL
00260	2011	2136865.0000	11	11	7	NULL	NULL	NULL
N42485	2015	105658.6594	10	10	10	NULL	NULL	NULL
ZP12	2001	33774204.0000	315	321	315	NULL	NULL	NULL
690EG4	2018	560927.0606	4	4	4	NULL	NULL	NULL
W91GEY	2006	42278446.0000	405	13	13	NULL	NULL	NULL
BL410	2010	7550832.0433	5962	284	284	NULL	NULL	NULL
2BS798	1990	240000.0000	NULL	1	1	NULL	NULL	NULL
00092	2011	110335755.3243	1075	1078	653	NULL	NULL	NULL
HQ0028	2010	86275099.5618	1092	1098	907	NULL	NULL	NULL
SPRHA2	2018	834506.6587	18	18	14	NULL	NULL	NULL
SPM4A7	2009	461995178.1915	14038	14850	14820	NULL	NULL	NULL
BR820	2013	2632574.4197	216	239	206	NULL	NULL	NULL
51KN	2007	0.0000	2	2	2	NULL	NULL	NULL
IN600	2012	925463.5970	125	121	111	NULL	NULL	NULL
